Month,HSC Trust,Category of test,Test,Priority,0-2 days,3-7 days,8-14 days,15-21 days,22-28 days,>28 days,Total,% reported within 2 days,% reported within 2 weeks,% reported within 4 weeks,,
31-Oct-2010,Belfast,IMAGING,BARIUM ENEMA,ROUTINE,88,9,4,1,15,5,122,,82.8,95.9,,
31-Oct-2010,Belfast,IMAGING,BARIUM ENEMA,URGENT,9,3,0,0,0,0,12,75.0,,,,
31-Oct-2010,Belfast,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,"1,521",218,83,7,127,31,"1,987",,91.7,98.4,,
31-Oct-2010,Belfast,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,279,43,18,2,10,4,356,78.4,,,,
31-Oct-2010,Belfast,IMAGING,DEXA SCAN,ROUTINE,0,0,1,2,1,6,10,,10.0,40.0,,
31-Oct-2010,Belfast,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,769,346,288,212,258,66,"1,939",,72.4,96.6,,
31-Oct-2010,Belfast,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,142,28,5,3,2,0,180,78.9,,,,
31-Oct-2010,Belfast,IMAGING,NON-OBSTETRIC ULTRASOUND,ROUTINE,"1,105",101,234,173,104,30,"1,747",,82.4,98.3,,
31-Oct-2010,Belfast,IMAGING,NON-OBSTETRIC ULTRASOUND,URGENT,288,7,5,6,3,1,310,92.9,,,,
31-Oct-2010,Belfast,IMAGING,RADIO-NUCLIDE IMAGING,ROUTINE,192,49,30,3,32,15,321,,84.4,95.3,,
31-Oct-2010,Belfast,IMAGING,RADIO-NUCLIDE IMAGING,URGENT,11,1,0,0,0,0,12,91.7,,,,
31-Oct-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,ROUTINE,729,139,72,2,0,0,942,,99.8,100.0,,
31-Oct-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - ECHOCARDIOGRAPHY,URGENT,854,30,1,0,0,0,885,96.5,,,,
31-Oct-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,ROUTINE,43,58,0,0,0,0,101,,100.0,100.0,,
31-Oct-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,CARDIOLOGY - PERFUSION STUDIES,URGENT,9,11,0,0,0,0,20,45.0,,,,
31-Oct-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,ROUTINE,18,32,4,11,9,146,220,,24.5,33.6,,
31-Oct-2010,Belfast,PHYSIOLOGICAL MEASUREMENT,NEUROPHYSIOLOGY - PERIPHERAL NEUROPHYSIOLOGY,URGENT,3,3,0,1,0,0,7,42.9,,,,
31-Oct-2010,Northern,IMAGING,BARIUM ENEMA,ROUTINE,48,1,0,0,0,0,49,,100.0,100.0,,
31-Oct-2010,Northern,IMAGING,BARIUM ENEMA,URGENT,5,0,0,0,0,0,5,100.0,,,,
31-Oct-2010,Northern,IMAGING,COMPUTERISED TOMOGRAPHY,ROUTINE,813,50,7,4,0,0,874,,99.5,100.0,,
31-Oct-2010,Northern,IMAGING,COMPUTERISED TOMOGRAPHY,URGENT,597,10,1,0,0,0,608,98.2,,,,
31-Oct-2010,Northern,IMAGING,MAGNETIC RESONANCE IMAGING,ROUTINE,220,105,15,3,0,0,343,,99.1,100.0,,
31-Oct-2010,Northern,IMAGING,MAGNETIC RESONANCE IMAGING,URGENT,64,11,2,1,0,0,78,82.1,,,,
