Quarter Ending,HSC Trust,Diagnostic Service,Recommended Waiting Time,Category,0 - 6 weeks,> 6 - 9 weeks,> 9 - 13 weeks,> 13 - 21 weeks,> 21 - 26 weeks,> 26 weeks,> 26 - 36 weeks,> 36 weeks,> 36 - 52 weeks,> 52 - 65 weeks,> 65 - 78 weeks,> 78 weeks,Total,,,,
31-Mar-08,Belfast,Barium Studies,9 week,Imaging,256,0,60,0,0,0,.,0,.,.,.,.,316,,,,
31-Mar-08,Belfast,Colonoscopy,13 week,Endoscopy,269,0,270,128,0,0,.,0,.,.,.,.,667,,,,
31-Mar-08,Belfast,Computerised Tomography,9 week,Imaging,907,0,346,0,0,0,.,0,.,.,.,.,"1,253",,,,
31-Mar-08,Belfast,Cystoscopy,13 week,Endoscopy,371,0,258,160,0,0,.,0,.,.,.,.,789,,,,
31-Mar-08,Belfast,DEXA Scan,9 week,Imaging,281,0,325,0,0,0,.,0,.,.,.,.,606,,,,
31-Mar-08,Belfast,Echocardiography,9 week,Physiological Measurement,805,0,329,0,0,0,.,0,.,.,.,.,"1,134",,,,
31-Mar-08,Belfast,Flexi sigmoidoscopy,13 week,Endoscopy,171,0,118,44,0,0,.,0,.,.,.,.,333,,,,
31-Mar-08,Belfast,Gastroscopy,13 week,Endoscopy,568,0,447,225,0,0,.,0,.,.,.,.,"1,240",,,,
31-Mar-08,Belfast,Magnetic Resonance Imaging,9 week,Imaging,"1,204",0,568,0,0,0,.,0,.,.,.,.,"1,772",,,,
31-Mar-08,Belfast,Non-obstetric ultrasound,9 week,Imaging,"1,050",0,630,0,0,0,.,0,.,.,.,.,"1,680",,,,
31-Mar-08,Belfast,Perfusion studies,9 week,Physiological Measurement,183,0,25,0,0,0,.,0,.,.,.,.,208,,,,
31-Mar-08,Belfast,Peripheral neurophysiology,9 week,Physiological Measurement,372,0,360,0,0,0,.,0,.,.,.,.,732,,,,
31-Mar-08,Belfast,Pressures and flows,9 week,Physiological Measurement,54,0,48,0,0,0,.,0,.,.,.,.,102,,,,
31-Mar-08,Belfast,Pure tone audiometry,9 week,Physiological Measurement,89,0,35,0,0,0,.,0,.,.,.,.,124,,,,
31-Mar-08,Belfast,Radio-Nuclide Imaging,9 week,Imaging,264,0,75,0,0,0,.,0,.,.,.,.,339,,,,
31-Mar-08,Belfast,Sleep studies,9 week,Physiological Measurement,146,0,41,0,0,0,.,0,.,.,.,.,187,,,,
31-Mar-08,Northern,Barium Studies,9 week,Imaging,126,0,0,0,0,0,.,0,.,.,.,.,126,,,,
31-Mar-08,Northern,Colonoscopy,13 week,Endoscopy,300,0,317,109,0,0,.,0,.,.,.,.,726,,,,
31-Mar-08,Northern,Computerised Tomography,9 week,Imaging,493,0,31,0,0,0,.,0,.,.,.,.,524,,,,
31-Mar-08,Northern,Cystoscopy,13 week,Endoscopy,104,0,65,51,0,0,.,0,.,.,.,.,220,,,,
31-Mar-08,Northern,Echocardiography,9 week,Physiological Measurement,510,0,232,0,0,0,.,0,.,.,.,.,742,,,,
31-Mar-08,Northern,Flexi sigmoidoscopy,13 week,Endoscopy,135,0,179,87,0,0,.,0,.,.,.,.,401,,,,
31-Mar-08,Northern,Gastroscopy,13 week,Endoscopy,366,0,350,140,0,0,.,0,.,.,.,.,856,,,,
31-Mar-08,Northern,Magnetic Resonance Imaging,9 week,Imaging,186,0,123,0,0,0,.,0,.,.,.,.,309,,,,
31-Mar-08,Northern,Non-obstetric ultrasound,9 week,Imaging,996,0,82,0,0,0,.,0,.,.,.,.,"1,078",,,,
31-Mar-08,Northern,Perfusion studies,9 week,Physiological Measurement,23,0,23,0,0,0,.,0,.,.,.,.,46,,,,
31-Mar-08,Northern,Pressures and flows,9 week,Physiological Measurement,40,0,23,0,0,0,.,0,.,.,.,.,63,,,,
31-Mar-08,Northern,Pure tone audiometry,9 week,Physiological Measurement,29,0,1,0,0,0,.,0,.,.,.,.,30,,,,
31-Mar-08,Northern,Radio-Nuclide Imaging,9 week,Imaging,110,0,11,0,0,0,.,0,.,.,.,.,121,,,,
31-Mar-08,Southern,Barium Studies,9 week,Imaging,385,0,183,0,0,0,.,0,.,.,.,.,568,,,,
31-Mar-08,Southern,Colonoscopy,13 week,Endoscopy,151,0,187,149,0,0,.,0,.,.,.,.,487,,,,
31-Mar-08,Southern,Computerised Tomography,9 week,Imaging,359,0,91,0,0,0,.,0,.,.,.,.,450,,,,
31-Mar-08,Southern,Cystoscopy,13 week,Endoscopy,140,0,158,115,0,0,.,0,.,.,.,.,413,,,,
31-Mar-08,Southern,DEXA Scan,9 week,Imaging,221,0,7,0,0,0,.,0,.,.,.,.,228,,,,
31-Mar-08,Southern,Echocardiography,9 week,Physiological Measurement,381,0,94,0,0,0,.,0,.,.,.,.,475,,,,
31-Mar-08,Southern,Flexi sigmoidoscopy,13 week,Endoscopy,49,0,90,50,0,0,.,0,.,.,.,.,189,,,,
31-Mar-08,Southern,Gastroscopy,13 week,Endoscopy,308,0,283,97,0,0,.,0,.,.,.,.,688,,,,
31-Mar-08,Southern,Magnetic Resonance Imaging,9 week,Imaging,226,0,11,0,0,0,.,0,.,.,.,.,237,,,,
31-Mar-08,Southern,Non-obstetric ultrasound,9 week,Imaging,"1,027",0,170,0,0,0,.,0,.,.,.,.,"1,197",,,,
31-Mar-08,Southern,Perfusion studies,9 week,Physiological Measurement,28,0,9,0,0,0,.,0,.,.,.,.,37,,,,
31-Mar-08,Southern,Peripheral neurophysiology,9 week,Physiological Measurement,99,0,77,0,0,0,.,0,.,.,.,.,176,,,,
31-Mar-08,Southern,Pressures and flows,9 week,Physiological Measurement,66,0,52,0,0,0,.,0,.,.,.,.,118,,,,
31-Mar-08,Southern,Pure tone audiometry,9 week,Physiological Measurement,152,0,119,0,0,0,.,0,.,.,.,.,271,,,,
31-Mar-08,Southern,Radio-Nuclide Imaging,9 week,Imaging,98,0,25,0,0,0,.,0,.,.,.,.,123,,,,
31-Mar-08,Southern,Sleep studies,9 week,Physiological Measurement,33,0,7,0,0,0,.,0,.,.,.,.,40,,,,
31-Mar-08,South Eastern,Barium Studies,9 week,Imaging,150,0,38,0,0,0,.,0,.,.,.,.,188,,,,
31-Mar-08,South Eastern,Colonoscopy,13 week,Endoscopy,322,0,126,18,0,0,.,0,.,.,.,.,466,,,,
31-Mar-08,South Eastern,Computerised Tomography,9 week,Imaging,382,0,110,0,0,0,.,0,.,.,.,.,492,,,,
31-Mar-08,South Eastern,Cystoscopy,13 week,Endoscopy,91,0,36,7,0,0,.,0,.,.,.,.,134,,,,
31-Mar-08,South Eastern,DEXA Scan,9 week,Imaging,29,0,32,0,0,0,.,0,.,.,.,.,61,,,,
31-Mar-08,South Eastern,Echocardiography,9 week,Physiological Measurement,299,0,35,0,0,0,.,0,.,.,.,.,334,,,,
31-Mar-08,South Eastern,Flexi sigmoidoscopy,13 week,Endoscopy,125,0,58,6,0,0,.,0,.,.,.,.,189,,,,
31-Mar-08,South Eastern,Gastroscopy,13 week,Endoscopy,463,0,237,26,0,0,.,0,.,.,.,.,726,,,,
31-Mar-08,South Eastern,Magnetic Resonance Imaging,9 week,Imaging,177,0,109,0,0,0,.,0,.,.,.,.,286,,,,
31-Mar-08,South Eastern,Non-obstetric ultrasound,9 week,Imaging,"1,002",0,580,0,0,0,.,0,.,.,.,.,"1,582",,,,
31-Mar-08,South Eastern,Pressures and flows,9 week,Physiological Measurement,16,0,10,0,0,0,.,0,.,.,.,.,26,,,,
31-Mar-08,South Eastern,Pure tone audiometry,9 week,Physiological Measurement,20,0,6,0,0,0,.,0,.,.,.,.,26,,,,
31-Mar-08,Western,Barium Studies,9 week,Imaging,105,0,0,0,0,0,.,0,.,.,.,.,105,,,,
31-Mar-08,Western,Colonoscopy,13 week,Endoscopy,116,0,121,67,0,0,.,0,.,.,.,.,304,,,,
31-Mar-08,Western,Computerised Tomography,9 week,Imaging,241,0,40,0,0,0,.,0,.,.,.,.,281,,,,
31-Mar-08,Western,Cystoscopy,13 week,Endoscopy,47,0,38,6,0,0,.,0,.,.,.,.,91,,,,
31-Mar-08,Western,DEXA Scan,9 week,Imaging,79,0,0,0,0,0,.,0,.,.,.,.,79,,,,
31-Mar-08,Western,Echocardiography,9 week,Physiological Measurement,255,0,135,0,0,0,.,0,.,.,.,.,390,,,,
31-Mar-08,Western,Flexi sigmoidoscopy,13 week,Endoscopy,153,0,139,26,0,0,.,0,.,.,.,.,318,,,,
31-Mar-08,Western,Gastroscopy,13 week,Endoscopy,270,0,340,133,0,0,.,0,.,.,.,.,743,,,,
31-Mar-08,Western,Magnetic Resonance Imaging,9 week,Imaging,360,0,183,0,0,0,.,0,.,.,.,.,543,,,,
31-Mar-08,Western,Non-obstetric ultrasound,9 week,Imaging,883,0,205,0,0,0,.,0,.,.,.,.,"1,088",,,,
31-Mar-08,Western,Perfusion studies,9 week,Physiological Measurement,0,0,19,0,0,0,.,0,.,.,.,.,19,,,,
